"id","lat","lng","elevation","locationType","primarySegment_id","secondarySegment_id","wheelCount"
4180,"32.6401951138362","-97.1302289884006","0","Pig Run Point",8,"",""
4179,"32.6408296017002","-97.1306568449127","0","Pig Run Point",8,"",""
4178,"32.6414640895642","-97.1310847014249","0","Pig Run Point",8,"",""
4177,"32.6420985774282","-97.1315125579371","0","Pig Run Point",8,"",""
4176,"32.6427330652921","-97.1319404144493","0","Pig Run Point",8,"",""
4175,"32.6433675531561","-97.1323682709614","0","Pig Run Point",8,"",""
4174,"32.6440020410201","-97.1327961274736","0","Pig Run Point",8,"",""
4173,"32.6446365288841","-97.1332239839858","0","Pig Run Point",8,"",""
4172,"32.6452710167481","-97.133651840498","0","Pig Run Point",8,"",""
4171,"32.6459055046121","-97.1340796970101","0","Pig Run Point",8,"",""
4170,"32.6465399924761","-97.1345075535223","0","Pig Run Point",8,"",""
4169,"32.6471744803401","-97.1349354100345","0","Pig Run Point",8,"",""
4168,"32.6478089682041","-97.1353632665467","0","Pig Run Point",8,"",""
4167,"32.6484434560681","-97.1357911230588","0","Pig Run Point",8,"",""
4166,"32.649077943932","-97.136218979571","0","Pig Run Point",8,"",""
4165,"32.649712431796","-97.1366468360832","0","Pig Run Point",8,"",""
4164,"32.65034691966","-97.1370746925954","0","Pig Run Point",8,"",""
4163,"32.650981407524","-97.1375025491075","0","Pig Run Point",8,"",""
4162,"32.651615895388","-97.1379304056197","0","Pig Run Point",8,"",""
4161,"32.652250383252","-97.1383582621319","0","Pig Run Point",8,"",""
4160,"32.652884871116","-97.1387861186441","0","Pig Run Point",8,"",""
4159,"32.65351935898","-97.1392139751562","0","Pig Run Point",8,"",""
4158,"32.654153846844","-97.1396418316684","0","Pig Run Point",8,"",""
4157,"32.654788334708","-97.1400696881806","0","Pig Run Point",8,"",""
4156,"32.655422822572","-97.1404975446928","0","Pig Run Point",8,"",""
4155,"32.6560573104359","-97.1409254012049","0","Pig Run Point",8,"",""
4154,"32.6566917982999","-97.1413532577171","0","Pig Run Point",8,"",""
4153,"32.6573262861639","-97.1417811142293","0","Pig Run Point",8,"",""
4152,"32.6579607740279","-97.1422089707415","0","Pig Run Point",8,"",""
4151,"32.6585952618919","-97.1426368272536","0","Pig Run Point",8,"",""
4150,"32.6592297497559","-97.1430646837658","0","Pig Run Point",8,"",""
4149,"32.6598642376199","-97.143492540278","0","Pig Run Point",8,"",""
4148,"32.6604987254839","-97.1439203967902","0","Pig Run Point",8,"",""
4147,"32.6611332133479","-97.1443482533023","0","Pig Run Point",8,"",""
4146,"32.6617677012119","-97.1447761098145","0","Pig Run Point",8,"",""
4145,"32.6624021890759","-97.1452039663267","0","Pig Run Point",8,"",""
4144,"32.6630366769398","-97.1456318228389","0","Pig Run Point",8,"",""
4143,"32.6636711648038","-97.146059679351","0","Pig Run Point",8,"",""
4142,"32.6643056526678","-97.1464875358632","0","Pig Run Point",8,"",""
4141,"32.6649401405318","-97.1469153923754","0","Pig Run Point",8,"",""
4140,"32.6655746283958","-97.1473432488876","0","Pig Run Point",8,"",""
4139,"32.6662091162598","-97.1477711053997","0","Pig Run Point",8,"",""
4138,"32.6668436041238","-97.1481989619119","0","Pig Run Point",8,"",""
4137,"32.6674780919878","-97.1486268184241","0","Pig Run Point",8,"",""
4136,"32.6681125798518","-97.1490546749363","0","Pig Run Point",8,"",""
4135,"32.6687470677158","-97.1494825314484","0","Pig Run Point",8,"",""
4134,"32.6693815555798","-97.1499103879606","0","Pig Run Point",8,"",""
